general_plant_id,watering,watering_general_benchmark,sunlight,soil,drought_tolerant,salt_tolerant,pruning_month,pruning_count,pest_susceptibility,flowers_detail,harvest_season,growth_rate,maintenance,care_level,watering_guide,sunlight_guide,pruning_guide
11,Average,"At least once ""3-4"" days","[""Full sun"", ""part shade""]",[],True,False,"[""March"", ""April""]",,[],Flowers in Spring,,Low,Low,Medium,"Snakebark Maple should be watered regularly and consistently. It is best to water this species deeply and infrequently throughout the warmer months of the year (spring and summer). It should be watered about once a week, or when the soil begins to feel dry about 2 inches below the surface. During the cooler months of the year (fall and winter) the watering should be reduced and only done when the top of the soil is dry. Be sure to avoid over-watering, as this can cause the roots to rot.","Snakebark Maple is an attractive woody shrub or small tree that will thrive in full sun to partial shade. It prefers humid climates and appreciates a protected spot out of strong winds. In ideal growing conditions, this plant species will need 5 to 6 hours of direct sun each day during spring and summer. If you live in a cooler climate, 4 to 5 hours of direct sun will be sufficient. During autumn and winter, reduce sun exposure to 2 or 3 hours of direct sun. This will protect the sensitive leaves from sunburn and help the plant rest for next year's growth.","Snakebark Maple should be pruned in early spring, before the new growth starts to form. Prune only dead, diseased, and damaged branches, as pruning too much can harm the tree. You should leave some of the previous season's growth uncut - known as “watersprouts” - in case the tree doesn't grow enough new shoots. Prune branches to 1-third of their length, taking special care when removing shoots from the trunk."
12,Average,,"[""full sun"", ""part shade""]",[],True,False,"[""February"", ""February"", ""March""]",,[],,,Low,,Moderate,"For Amur Maple (Acer ginnala), water approximately 1 inch per week when conditions are dry. Generally, it's best to water in the early morning or the evening. It's important not to over-water the plant, so only water when the top 1-2 inches of soil feels dry to the touch. Be sure to water the plant until water is seen coming out of the drainage holes of the pot.","Amur Maple plants need a moderate amount of sunlight to grow and thrive. They should be placed in a spot where they receive at least 4 to 6 hours of direct sunlight per day. During the hottest and brightest part of the day, from 10am to 4pm, the plant should get more shade to protect it from too much heat and light exposure.","Amur maple (Acer ginnala) typically requires only light pruning for shape and size control. Pruning should be done in late winter (February-March) to remove dead, broken, or criss-crossing branches. Begin by removing any dead branches and cut back the tallest stems by 1-third to 1-half. Prune back other branches to maintain a symmetrical shape and size. Cut just above a bud or leaf node with sharp pruning scissors. Avoid pruning more than 25% of the total foliage in 1 season."
13,Frequent,"At least once ""7-10"" days","[""full sun""]",[],True,False,"[""February"", ""March"", ""April"", ""May""]",,[],,,High,,Moderate,"The Flame Amur Maple usually requires water weekly, especially in times of drought. It should be watered deeply, once a week, so that the soil is moist at a depth of 6 inches. During prolonged dry periods, increase the watering frequency to twice a week for optimal growth. In general, the plant prefers to grow in moist, well-drained soil but it can tolerate occasional dry periods.","Flame Amur Maple requires full sun for best growth and foliage color. It should receive 4-6 hours of sunlight per day throughout the year. In terms of seasonality, spring and summer are ideal for ensuring that the darkest, truest colors of the foliage emerge. During the winter, the plant will require sun for at least 2 hours each day to keep its vibrant color.","Flame Amur Maple should be pruned in the late winter or early spring before new growth begins. Pruning should be minimal, with thinning of the canopy to improve light penetration. Remove dead, broken, weak or crossing branches and any diseased growth or other parts of the tree that are not aesthetically pleasing or necessary. Also, prune any suckers from the base of the tree. Make sure to use proper pruning techniques and clean tools to avoid diseases. Avoid cutting into large branches or the main trunk as this may cause harm to the tree."
14,Frequent,"At least once ""7-10"" days","[""full sun"", ""part shade""]",[],False,False,"[""February"", ""March"", ""April""]",,[],,,High,,Moderate,"Red Rhapsody Amur Maple should be watered when the top inch of soil feels dry to the touch, usually needing to be watered every 3-4 days during the warm summer months. During the cooler months of spring and fall, watering every 5-7 days is usually sufficient. Make sure not to water too much or too often, as water logged roots can cause root rot and other issues.","Red Rhapsody Amur Maple prefers full sun, meaning sunlight for at least 6 hours per day. The ideal time for it to get the most sun is during the morning and through the afternoon. While this species of maple can tolerate periods of dappled shade, full sun is recommended to support healthy growth, good foliage colour and abundant flowering. ","Red Rhapsody Amur Maple should be pruned annually in late winter or very early spring, before active and new growth begins. Pruning should be light, removing only dead and damaged branches and any crossing branches. If major pruning is required, it is best to do this over a few seasons. Heavy pruning is not recommended for this species."
15,Frequent,"At least once ""7-10"" days","[""full sun"", ""part shade""]",[],True,False,"[""May"", ""June"", ""July""]",,[],,,Low,,,"The Ruby Slippers Amur Maple will need to be watered on a regular basis, approximately once a week. It is best to wait until the top inch or so of soil has dried before watering. The amount of water to give the plant can vary depending on the size of the pot and the time of year, but in general, aim for a good soaking that leaves the entire root mass evenly moist. Keep an eye on the leaves of the plant for signs of wilting, which could indicate that more water is needed. During the warmer summer months, it may be necessary to water as often as every other day. While the Ruby Slippers Amur Maple should not be left to dry out completely, it is important not to overwater as too much moisture can lead to root rot.","The Ruby Slippers Amur Maple is a deciduous plant species that does best in full sun, meaning 6-8 hours of direct sunlight each day. This species of maple is best suited to locations that receive ample daylight, though it can still thrive in part sun, or indirect, light.","Pruning of the Ruby Slippers Amur Maple should be done in late spring or early summer, after it has finished flowering and before the new growth starts. The extent of pruning for this tree species is moderate, which means about 1-third of the existing branch structure should be removed in order to encourage new, healthy growth. To ensure the tree looks its best, any dead, diseased, or broken branches should be removed as well as any branches that are rubbing against each other or growing in an undesirable direction. It is also a good idea to thin the canopy to increase air flow and light penetration."
16,Average,"At least once ""3-4"" days","[""Full sun"", ""part shade""]","[""Acidic"", "" Well-drained""]",False,False,"[""March"", ""April"", ""August"", ""March"", ""April"", ""August""]",,"[""Galls"", "" Heart rot"", "" Mites"", "" Root rot"", ""  Pest resistant"", "" Disease resistant ""]",Flowers in Spring,Fall,Low,Low,Medium,"Paperbark Maple thrives in moist but well-drained soil and should be watered regularly during the growing season with approximately 1-2 inches of water per week. It should be watered deeply but infrequently, giving the soil time to dry out between waterings. Water should be applied around the perimeter of the plant to ensure it is penetrating deeply into the root zone. During the winter, when the plant is dormant, watering should be reduced significantly. Paperbark Maple does not tolerate overly wet soil and will not survive standing water, so make sure to check the soil before watering and not to overwater.","Paperbark Maple does well in full sun, but can also tolerate partial shade, so you want to make sure it gets at least 6 hours of sunlight per day. The best times for it to receive sunlight are in the morning and early afternoon, as the intense afternoon sun can cause the leaves to scorch. Morning sunlight will encourage blooms later in the year and will help the tree build up its food reserves. ","Paperbark Maple (Acer griseum) should be pruned twice each year, once in early spring and once in late summer. In early spring, prune only to remove dead and diseased branches. Late summer pruning should be more extensive, and can include removing excess watersprouts and crossed branches, thinning out interior growth, and shaping the tree’s overall canopy. Care should be taken to not prune more than 1/3 of the tree’s growth in a single session, and to prune any branches back to their points of origin or to another branch or branchlet at least 1 thumb’s width in diameter."
17,Average,"At least once ""3-4"" days","[""Full sun"", ""part shade""]",[],True,False,"[""February"", ""March"", ""April"", ""May""]",,[],Flowers in Spring,,Low,Low,Medium,"Fullmoon Maple thrives best with regular watering. Water the soil deeply, providing about 1 inch of water weekly during the growing season (April through October). Decrease watering slightly during the winter months (November through March), providing approximately 1/2 inch of water every 2 weeks. Ensure that the soil is evenly moist but not too wet, and avoid overwatering. Additionally, consider adding a mulch layer of organic material around the base of the plant to help the soil retain moisture and reduce weed growth.","Fullmoon Maple trees require direct sunlight for a minimum of 6 hours each day. Although they will tolerate full sun exposures, they prefer morning sun and afternoon shade during the hottest hours of the day and do well in partial shade. During the winter months the plant needs less sunlight and morning sun is preferable. Keep the tree planted in a sunny area to ensure a healthy life and high-quality blooms.",The Fullmoon Maple should be pruned in late winter or early spring. Pruning should focus on removing dead and weak branches and should not be overly aggressive. Remove no more than 1-third of the total branch structure. Remove water sprouts and any large multiple shoots growing from the same area. You may also want to selectively prune some branches to reduce the overall size of the tree if desired.
18,Average,"At least once ""7-10"" days","[""Full sun"", ""part shade""]","[""Humus rich"", "" Well-drained""]",True,False,"[""March"", ""April"", ""June"", ""July"", ""August""]",,"[""Aphids"", ""adelgids"", "" Canker"", ""sap rot"", "" Caterpillar"", ""cutworm"", "" Fungal leaf spot"", "" Galls"", "" Heart rot"", "" Mites"", "" Root rot"", "" Scale insects"", "" Wilt""]",Flowers in Spring,Fall,Moderate,Low,Medium,"The Cutleaf Full Moon Maple should be watered regularly throughout the growing season, typically when the top inch of soil becomes dry. Generally, this tree requires about an inch to 2 inches of water per week. It is best to water deeply, meaning slowly and for an extended period of time in order for the water to penetrate into the top 12 inches of soil.","The Cutleaf Fullmoon Maple (Acer japonicum 'Aconitifolium') generally needs full to partial sunlight. It prefers to have morning sun and afternoon shade in areas with hot climates. During the growing season, this plant needs at least 6 hours of direct sunlight a day. In winter, the amount of light will need to be reduced to solely indirect or diffused light.","Cutleaf Fullmoon Maple is a fairly low maintenance plant, and should be pruned in early spring, just as the new growth begins. Pruning should be done lightly, removing only dead or damaged branches, or branches that cross or are too close together. Cutleaf Fullmoon Maple can also be lightly groomed in the summer to maintain a pleasing shape. Do not remove more than 25% of the foliage in any 1 season. Regular pruning will encourage more vigorous and healthy growth for this species of Maple."
19,Average,,"[""full sun"", ""part shade""]",[],False,False,"[""February""]",,[],,,High,,High,"The Attaryi Fullmoon Maple plant should be watered on a regular basis, but not overwatered. It should be watered when the top 1-2 inches (2.5-5 cm) of the soil are drying out. This typically requires watering once a week in the warmer months, and every 2 weeks in the winter season. The exact amount of water for each watering will vary depending on weather and climate, but a good rule of thumb is to apply 1 to 2 inches (2.5-5 cm) of water per week.","Attaryi Fullmoon Maple is a beautiful, deciduous species that thrives in areas with full to partial sunlight. It does best when it receives at least 4-6 hours of direct sunlight per day, preferably during the early morning or late afternoon when the sun is not as strong. During peak summer months, it can tolerate up to 8 hours of direct sunlight but should be sheltered from the hottest midday sun. If grown in areas with full shade, the maple may lack vigor, display slow growth, or have an overall less vibrant foliage.","Attaryi Fullmoon Maple should be pruned annually in mid to late winter, when the tree is dormant. Pruning should be limited to removing dead, dying, diseased, or crowded branches and should include removing any crossing branches that could cause damage to the tree. Remove no more than 20% of the total branch growth from each pruning session as this species doesn't tolerate heavy pruning well. When pruning, maintain an overall natural shape by pruning weak, sprouty growth and avoiding topping or shearing the tree."
20,Average,"At least once ""7-10"" days","[""full sun"", ""part shade""]",[],False,False,"[""February"", ""March"", ""April"", ""March"", ""April"", ""May"", ""June"", ""July"", ""August"", ""September""]",,[],,,Low,,Medium,"Golden Fullmoon Maple should be watered when the top 2 inches of soil become dry, generally at least once a week. Water deeply, until it begins to trickle out of the bottom of the pot. In the summer months, when the temperature is higher, water more often to keep the soil moist. To prevent leaves from yellowing, reduce water in the winter months.","Golden Fullmoon Maple (Acer japonicum 'Aureum') will thrive in direct sunlight or partial shade, though it prefers to be in a sunnier spot. Its best to provide it with 4-5 hours of direct sunlight each day. Planting it in a location that gets direct sunlight in the morning and afternoon, or all day dappled sunlight is ideal. Additionally, avoid overheating by avoiding full, direct sunlight in the hottest part of the day (usually late afternoon).","The Golden Fullmoon Maple is a deciduous tree that should be pruned in late winter or early spring, when the tree is still dormant and not actively growing. It is important to avoid pruning too much during the growing season, because this can severely weaken budding and decrease its flowering potential.

The pruning should focus on dead and damaged branches, as well as branches that are large or that interfere with other branches and crossing branches. Prune back the branches to 1-third of their length. Cut at an angle so that water can easily flow away from the cut and prevent disease."
21,Average,,"[""full sun"", ""part shade"", ""filtered shade""]",[],True,False,"[""March"", ""April"", ""May"", ""June"", ""July""]",,[],,,Low,,,"The Emmett's Pumpkin Fullmoon Maple requires regular watering, especially when the soil begins to feel dry. Throughout its growing season, during the spring and summer, aim to water the plant deeply about once a week, or more often if the soil is drying quickly due to heat or wind. During the colder winter months, water about every 2 to 3 weeks. It is important to only water when the soil feels dry because this species can suffer from root rot if it is overwatered.","Emmett's Pumpkin Fullmoon Maple (Acer japonicum 'Emmett's Pumpkin') should be planted in an area that receives a minimum of 4 to 6 hours of direct sunlight per day. Morning and late afternoon sun are the best times of the day for the Maple to receive sunlight. If the area receives a large amount of afternoon sun, it should be planted in a partially shaded area or where it will receive dappled or filtered sunlight. It is best to avoid direct midday sun, as this can cause the leaves to burn or discolor.","Pruning for an Emmett's Pumpkin Fullmoon Maple (Acer japonicum 'Emmett's Pumpkin') should take place every spring or early summer. Pruning should focus on creating a symmetrical and attractive shape, removing any dead, damaged, or crossed branches. To maintain a compact form and minimize mess it is a good idea to lightly prune the tips of branches after flowering. This will force new growth from lower parts of the plant, adding to the fullness. Heavy pruning should generally be avoided as it can cause the loss of flowers, fruit, or leaves. It is best to remove no more than 1-third of the tree's growth each year."
22,Average,"At least once ""7-10"" days","[""Full sun"", ""part shade""]",[],True,False,"[""February"", ""March"", ""April""]",,[],Flowers in Spring,,Low,Low,Medium,"Green Cascade Maple plants should be watered evenly and deeply once every week during the active growing season from spring through summer. Allow the soil to dry out in between waterings. Water approximately 1 to 2 inches each time and avoid overwatering. Water early enough in the day to allow the foliage to dry out before nightfall. During the winter, the plant should only be watered when the soil is completely dry, typically once or twice a month.","Green Cascade Maple plants prefer full sun in the morning and partial shade in the late afternoon. Ideally, Green Cascade Maple plants should receive at least 6-8 hours of sunlight per day. To best promote healthy growth and leaf vibrancy, it is beneficial to plant Green Cascade Maple trees in an area that receives sun throughout the day. Be sure to monitor the amount of sunlight throughout the day to ensure the tree is receiving enough, but not too much.","Pruning Green Cascade Maples should be done in late winter or early spring and should be kept to a minimum. It should only be done to remove dead or damaged branches, to improve vigor, and to keep the shape of the tree. When pruning, cut just above a healthy outward facing bud and make sure not to remove more than 1-third of the tree's total branches in a single pruning session. A light annual pruning can help your Green Cascade Maple stay healthy and ensure a long life for your tree."
23,Average,"At least once ""7-10"" days","[""full sun"", ""part sun/part shade""]","[""Sandy Loamy""]",False,False,"[""February"", ""March"", ""April"", ""May"", ""March"", ""April"", ""May"", ""June"", ""July"", ""August"", ""September""]",,"[""Fungal leaf spot"", "" Heart rot"", "" Mildew"", ""  Pest resistant"", "" Disease resistant ""]",Flowers in Spring,Fall,Moderate,Low,Medium,"Big Leaf Maple should be watered once or twice a week, depending on the season and the soil conditions. The area should be watered thoroughly until water runs out of the drainage holes. If the tree is grown in a container, it should be watered until the soil is moist but not soggy. The amount of water depends on soil type, size of container, and climate; it can range from 2-5 gallons of water per week.","Big Leaf Maple trees need full sun to thrive and will reach optimal growth in areas where they get 6 to 8 hours of direct, unfiltered sunlight per day. This species can tolerate cold temperatures and can even grow in the drier southern climates as long as they're given ample shade and protection during the hottest part of the day. As long as they have access to plenty of light, Big Leaf Maples will respond positively and grow vigorously.","Big Leaf Maple (Acer macrophyllum) should be pruned in the late winter or early spring months. Pruning should be kept light. Dead, damaged and diseased branches should be removed. Branches should be thinned out, which will allow for better air circulation, sun exposure, and encourage new growth. It’s important not to prune more than 15-20% of the tree’s total foliage. This species of maple may produce a profusion of suckers throughout the growing season, which should be removed at their base."
24,Average,"At least once ""7-10"" days","[""full sun"", ""part shade""]","[""Sandy Loamy""]",True,False,"[""February"", ""March"", ""April""]",,"[""Fungal leaf spot"", "" Heart rot"", "" Mildew"", ""  Pest resistant"", "" Disease resistant ""]",Flowers in Spring,Fall,Moderate,Low,Medium,"The Mocha Rose Big Leaf Maple should be watered deeply once or twice a week, depending on the weather and the amount of sunlight it is receiving. Make sure to check the topsoil of the potted plant for moisture every few days. If the top layer of soil is dry, then it is time to water the plant. If the soil is still moist, then wait a few more days before attempting to water again. A general rule of thumb is to give the plant a deep watering session equivalent to 1-1.5 inches of water per week. Allow as much water to seep in as possible, and then let the soil dry out before watering again. If the plant is in direct sunlight, be sure to give it extra water to keep it from drying out.","Mocha Rose Big Leaf Maple (Acer macrophyllum 'Mocha Rose') requires full or partial sunlight for optimal growth. Ideally, it should receive 4-6 hours of direct sun per day, with the remainder of the day spent in indirect light or partial shade. To promote healthy growth, the plant should be placed in an area that receives the maximum amount of sunlight available without the risk of its branches and leaves being burned. Additionally, if the area experiences a low level of ambient light, then supplemental lighting can be beneficial.","Pruning should take place in late winter or early spring after the last frost. Pruning should be done to maintain the desired size and shape of Mocha Rose Big Leaf Maple. Generally, light pruning should be all that is needed, unless dead or diseased branches need to be removed. Remove any branches that cross or are crowded and selectively thin the canopy slightly to promote air circulation and light penetration. Avoid over pruning as it can weaken and stunt the growth of the tree. Avoid removing more than 1/3 of the tree’s branches in a single pruning session. Overall, we recommend only light pruning for a Mocha Rose Big Leaf Maple."
