Club,Link,Meeting_day,Meeting_week,Meeting_hour,Contact,State,Location
Canberra Seed Savers Co-Operative,https://www.facebook.com/canberraseedsavers,2,1,,,ACT,
Bombala & District Garden Club,https://www.facebook.com/p/Bombala-District-Garden-Club-100084750550825/,6,3,10:00,,ACT,
Daffodil Association of NSW and ACT,https://www.facebook.com/DaffodilAssoc,,,,,ACT,
Daffodil Association of NSW and ACT,https://www.facebook.com/DaffodilAssoc,,,,,ACT,
Canberra Bonsai Society,https://www.cbs.org.au/,6,1,9:00,,ACT,
The Floral Art Guild of the ACT,https://www.facebook.com/floralartACT/,4,3,19:30,,ACT,
Friends of the National Arboretum Canberra ,https://friendsarboretumcanberra.org.au/,2,2,,,ACT,
Nimmitabel and District Garden Club,https://www.facebook.com/nimmitabelgardenclub/,2,2,13:30,0402 807 715,ACT,
Queanbeyan Sustainability Group,https://qbynsustainabilitygroup.wordpress.com/,4,1,19:30,0400 971 122,ACT,
Blackhealth and District Horticultural Society,https://thebigfixblackheath.org/our-community/208/blackheath-district-horticultural-society/,4,1,10:00,0405 393 281,NSW,
Iris Society of Australia NSW Region,https://www.irises.org.au/,,,,0412 985 238,NSW,
MacQuarie Towns Garden Club,https://macquarietownsgardenclub.wordpress.com/,4,1,14:00,0418 773 998,NSW,
Leura Home Garden Club,https://leuragardenclub.org.au/,2,3,9:45,"0418 773 998
",NSW,
Blue Mountains Rhododendron Society of NSW,https://www.rhodogarden.org.au/,6,3,14:00,02 4787 8965,NSW,
Wentworth Falls Garden Club,https://www.wentworthfallsgardenclub.com/,4,2,9:45,0404 154 989,NSW,
Central Blue Mountains Garden Club,https://www.centralbluemountainsgardenclub.com.au/,2,1,,"0414 541 718

",NSW,
Leura Gardens Festival,http://leuragardensfestival.com/,2,2,9:30,0414 466 777,NSW,
Bilpin Garden Club Inc,https://www.facebook.com/groups/bilpingardenclub/,6,1,,"02 4572 1945

",NSW,
Bilpin Garden Club Inc,https://www.facebook.com/groups/bilpingardenclub/,6,2,,02 4572 1945,NSW,
Central West Dahlia Society,https://www.dahliasaustralia.org.au/central-west-new-south-wales/,,,,0484 845 373,NSW,
Clivia Society of NSW Inc,https://cliviasocietynsw.org.au/,6,2,13:00,0413 089 639,NSW,
Henry Doubleday Research Association,https://www.acnc.gov.au/charity/charities/d2677116-39af-e811-a963-000d3ad24077/profile,6,2,12:00,0438 731 712,NSW,
Kurrajong Heights Garden Club,https://www.kurrajongheightsgardenclub.org.au/,3,2,10:00,,NSW,
Lithgow & District Garden Club,,1,1,14:00,0467 192 117,NSW,
Lower Blue Mountains Garden Club, https://www.facebook.com/lbmgcaustralia/,4,2,10:00,"0438 511 543

",NSW,
Oberon & District Garden Club Inc,https://www.facebook.com/OberonGardenClub/,1,3,10:00,"0438 684 808

",NSW,
Permaculture Blue Mountains,https://www.facebook.com/PermacultureBlueMountains/,2,1,18:00,,NSW,
Bateau Bay Community Garden,https://www.facebook.com/bateaubay.communitygarden/,1,2,10:00,0400 043 130,NSW,
Permaculture Central Coast,https://permaculturecc.org.au/,7,1,15:00,,NSW,
Central Coast - Hunter Region Cymbidium Society,https://www.centralcoasthuntercymbidiumorchidsociety.com/,4,3,19:30,0400 421 183,NSW,
Central Coast and Lakes Orchid Society,https://www.facebook.com/groups/172961100797670/,2,2,19:30,02 4357 1314,NSW,
Central Coast Cactus and Succulent Club,https://www.facebook.com/cccscInc/,6,3,13:00,0402 216 046,NSW,
Charmhaven Home Garden and Social Club,,1,2,12:30,"02 4393 1813

",NSW,
Kulnura and District Garden Club,https://www.facebook.com/groups/430161207595923/,2,1,10:00,"0455 364 262

",NSW,
San Remo Community Environment Projects,,2,1,10:15,"0418 426 128

",NSW,
Community Gardens Australia,https://communitygarden.org.au/,7,3,17:00,0439 809 038,NT,
Friends of the Darwin Botanic Gardens,https://www.facebook.com/friendsofthedarwinbotanicgardens/,4,2,,,NT,
The NT Bromeliad Society Inc,https://www.facebook.com/p/NT-Bromeliad-Society-Incorporated-100064402943175/,7,4,16:00,ntbroms02@gmail.com,NT,
Rural Garden Club,https://www.facebook.com/groups/788815934548455/,5,3,9:30,,NT,
The Snakebean Community Garden,https://www.facebook.com/people/The-Snakebean-Community-Garden/100070473550546/#,7,4,,snakebeangarden@gmail.com,NT,
"Apollo Bay College Community Garden

",https://apollobay.vic.au/apollo-bay-news/apollo-bay-p-12-college/apollo-bay-community-garden-and-school-kitchen-garden,,,,03 5237 6483,VIC,
Australian Pelargonium & Geranium Society Victoria,https://www.facebook.com/groups/617393088457611/,6,4,,apgs.vic@gmail.com,VIC,
Ballarat Bonsai Society,https://www.facebook.com/ballaratbonsaisocietyinc,4,1,19:30,"0408 431 535

",VIC,
Ballarat Community Garden,http://ballaratcommunitygarden.org.au/,1,1,,03 5331 7502,VIC,
Ballarat Community Garden,http://ballaratcommunitygarden.org.au/,1,3,,03 5331 7502,VIC,
Belgrave Food Garden,https://www.bfg.earth/,7,2,10:00,0468 439 904,VIC,
Bellfield Community Garden,https://www.bellfieldcommunitygarden.com.au/,3,2,19:30,"0476 308 870

",VIC,
Bright Garden Club,https://www.facebook.com/groups/589401953070008/,2,2,19:30,0457 211 244,VIC,
Camperdown Botanic Gardens & Arboretum Trust,https://camperdownbotanicgardens.org.au/,2,3,18:00,0427 629557,VIC,
Hamilton Park Garden Club,https://hamiltonpark.org.au/garden-club/,1,4,10:00,,VIC,
Cobram & District Garden Club,https://www.facebook.com/groups/287184173626135/,4,3,10:00,,VIC,
Collingwood Duck Garden,https://www.facebook.com/groups/580610748627069/,3,1,19:30,,VIC,
Cranbourne Friends Royal Botanic Gardens Victoria,https://rbgfriendscranbourne.org.au/,2,3,17:30,,VIC,
Doncaster Garden Club,https://doncastergardenclubaus.com/,3,2,20:00,,VIC,
Early Morning African Violet Group,https://earlymorn.totalvoice.com.au/,6,2,13:30,03 5678 8814,VIC,
Ehuca Horticultural Society,https://www.echucahorticulturalsociety.com/,3,2,14:00,0408 073 447,VIC,
Victorian Floral Art Association,https://www.vicfloralartassociation.org.au/,,,,03 9848 7083,VIC,
Friends of Ballarat Botanical Gardens,https://fbbg.org.au/,2,3,16:00,03 5342 9354,VIC,
Friends of Bendigo Botanic Gardens,https://friendsbgobg.org.au/,2,3,11:30,info@friendsbgobg.org.au,VIC,
Friends of Buninyong Botanic Gardens,https://buninyongbotanicgardensfriends.org.au/,1,1,15:00,03 5341 3947,VIC,
Friends of Gargarro & Nursery,https://www.facebook.com/friendsofgargarro/,7,3,,"0438 546 237
",VIC,
Friends of Geelong Botanic Gardens,https://friendsgbg.org.au/,3,,,"03 52292 0071

",VIC,
Friends of Kyneton Botanical Gardens,https://www.kynetonbotanicgardensfriends.org/,2,3,15:00,0447 290 323,VIC,
Friends of Malmsbury Gardens & Environs,http://home.vicnet.net.au/~malmsbot/index.htm,,,,0448 401 212,VIC,
Friends of Warrnambool Botanic Gardens,https://wbgardens.com.au/,4,3,15:00,0438 620343,VIC,
Friends of Wilson Botanic Gardens,https://www.casey.vic.gov.au/facilities-hire/wilson-botanic-park-berwick,7,1,16:00,0418 385 232,VIC,
Gardeners Victoria,https://www.facebook.com/p/Gardeners-Victoria-Inc-100064278124551/,,,,"0467 673 067

",VIC,
Geelong Floral Art Group Inc,,1,1,,03 5231 5709,VIC,
Geelong Pelargonium Club Inc,,4,4,13:30,"03 5243 6162

",VIC,
Herb Society of Victoria,https://herbsocietyvic.org.au/,4,1,19:30,,VIC,
Horseshoe Bend Community Group,https://www.horseshoebendcg.org/,4,1,,info@horseshoebendcg.org ,VIC,
Ivanhoe Garden Club,https://ivanhoegardenclub.edublogs.org/,2,4,20:00,0401 161 461,VIC,
Knox Home Garden Club,https://knoxcommunitygardens.org.au/,1,3,20:00,0407 680 105,VIC,
Local Food Connect,https://localfoodconnect.org.au/,,,,0407 431 366,VIC,
Mansfield Garden Club,https://mansfieldonline.com.au/victoria/mansfield-garden-club/,4,4,19:00,"0438 648 372

",VIC,
Merri-Bek Community Gardening,https://www.merribekcg.org/,5,,10:00,0405 991 680,VIC,
Mt Macedon & District Horticultural Society,https://www.mountmacedonhorticulture.org.au/,2,1,20:00,0438 210 621,VIC,
North Central Garden Club,https://www.charlton.vic.au/resource/north-central-garden-club/,2,4,14:00,"0408 113 104

",VIC,
Portland Garden Club,https://www.rotarycarolinesprings.org.au/stories/portland-community-garden,2,2,19:00,,VIC,
Rutherglen & District Garden Club,https://www.rutherglengardenclub.com/,1,3,19:30,0429 401 835,VIC,
Seed Savers Albury - Wodonga,https://seedsaversalburywodonga.square.site/,,,,0403 630 134,VIC,
Selandra Community Garden,https://www.facebook.com/groups/644451125566258/,6,3,9:00,,VIC,
South Melbourne Sustainability Group,https://www.facebook.com/southmelbournesustainabilitygroup/,6,4,19:00,0408 423 547,VIC,
Steels Creek Garden Club,https://steelscreek.vic.au/community-groups/garden-club/,2,2,,0451 369 144,VIC,
"Leongatha Horticultural Society
",https://www.leongathahorticulturalsociety.com.au/,4,4,14:00,leon.horticulture@hotmail.com,VIC,
Tallangatta Horticultural Society,,6,1,10:00,02 6071 2824,VIC,
Wandin Garden Club,https://www.facebook.com/wandingardenclubinc/,1,1,13:00,wandingarden@gmail.com,VIC,
Wangaratta Community Garden,https://www.facebook.com/wangarattacommunitygarden/,3,3,17:30,Wangcommunitygarden@gmail.com,VIC,
Waterways Community Garden,https://www.facebook.com/WaterwaysRA/,3,3,17:30,,VIC,
Yackandandah Garden Club,https://www.ycc.org.au/communitygroups/2018/8/28/yackandandah-garden-club,4,2,19:00,yack.garden.club@outlook.com,VIC,
Annie St Garden,https://www.facebook.com/groups/774213726700783/permalink/784286145693541/,6,2,8:00,0431 361 300,WA,
Alban Orchid Society,https://www.albanyorchids.org.au/,7,4,19:00,0402 666 091,WA,
Ashbil Community Garden Bridgetown,https://www.facebook.com/bridgetowncommunitygarden/,3,2,16:00,0424 430 844,WA,
Australasian Native Orchid Society of WA,https://www.facebook.com/groups/anoswa/,2,4,19:30,0424 430 844,WA,
Baldivis Community Garden Club,https://baldiviscommunitygarden.com/,7,1,,0407 992 692,WA,
Bridgetown Garden Club,https://bagardenclub.weebly.com/,4,1,16:30,0412 161 596,WA,
Brighton Road Scarborough Community Garden,https://www.facebook.com/profile.php?id=100076057550829#,7,1,,"0419 046 886

",WA,
Bullsbrook Community Garden,https://www.facebook.com/p/Bullsbrook-Community-Garden-100072085412646/,1,3,19:00,0419 902 385,WA,
Busselton Community Garden,https://www.facebook.com/busseltoncommunitygardens/,6,,12:00,busseltoncommunitygardens@hotmail.com,WA,
Busselton & Districts Horticultural Society,https://www.facebook.com/groups/638438292951142/,5,3,12:00,0413 162 456,WA,
Cactus & Succulent Society of WA,https://csswa.org.au/,7,2,14:15,"0438 906 229

",WA,
Capel Community Garden,https://www.facebook.com/groups/1379231965906973/,6,1,9:00,"0459 362 120

",WA,
Capel Community Garden,https://www.facebook.com/groups/1379231965906973/,7,3,9:00,"0459 362 120

",WA,
Capel & Districts Garden Club,https://www.facebook.com/p/Capel-and-Districts-Garden-Club-Inc-100090143298410/,5,,9:30,"0417 923 296

",WA,
Campion Community Garden,https://www.facebook.com/CampionCommunityGarden/,1,,16:00,Campioncommunitygarden@gmail.com,WA,
Community Food Forests,https://www.facebook.com/groups/1933054523692631/,6,,9:00,0418 181 267,WA,
Carnarvon Growers Association,https://www.facebook.com/carnarvongrowersassoc/,,,,admin@cga.org.au,WA,"South Plantations, WA, Australia, Western Australia"
Cymbidium Orchid Club of WA,https://cymbidiumorchidclubwa.com.au/,1,3,19:30,0409 118 951,WA,"34 Braibrise Rd, Wilson WA 6107."
Dalyellup Community Garden,https://www.facebook.com/groups/dalyellupcommunitygardenmembersonly/,7,1,16:00,dalyellupcommunitygarden@gmail.com,WA,
Ellenbrook Community Garden Club,https://ellenbrook.net.au/ellenbrook-community-garden-club/,3,4,14:00,vivanddot@bigpond.com,WA,"Bonney Ln, Ellenbrook WA 6069"
Exmouth Community Garden,https://www.facebook.com/exmouthcommunitygardeninc/,,,,exmouthcommunitygarden@gmail.com,WA,"Willersdorf Road, Exmouth, WA, Australia, Western Australia"
Gardeners Circle WA,https://www.gardenerscirclewa.com/,1,3,19:30,0402 948 773,WA, South Perth Civic Centre
Geraldton Orchid Society,https://geraldtonorchid.webnode.page/,1,2,19:30,08 9921 7162,WA,
Gin Gin Garden Club,https://www.gingingardenclub.com/,5,1,13:00,0412 675 494,WA,
Girrawheen Community Garden,https://girragarden.wordpress.com/,2,2,19:00,0455 832 553,WA,
Gnarojin Community Garden,https://www.facebook.com/groups/gnarojincommunitygarden/,5,2,,0434 066 699,WA,
Halls Creek Community Garden,https://www.facebook.com/hallscreek.communitygarden/,3,2,18:00,0438 349 689,WA,
Hamersley Habitat Community Garden,https://hamersleyhabitat.wordpress.com/,5,,8:30,,WA,
Herb Society of Western Australia,https://www.herbsocietywa.com/,1,4,19:30,08 9459 2964,WA,
"Kelmscott & Districts Garden Club
",https://www.facebook.com/p/Kelmscott-Districts-Garden-Club-Inc-100082758163171/,1,2,19:30,08 9399 1374,WA,"Kambalda, Kambalda, WA, Australia, Western Australia"
Lake Monger Community Garden,https://www.facebook.com/LakeMongerCommunityGarden/,2,4,19:00,lakemongercommunitygarden@gmail.com,WA,
Burnie Garden Club,https://cotatas.org.au/gd_activities/burnie-garden-club/,4,1,19:30,lena.challis@bigpond.com,TAS,"Uniting Church Hall, 58-66 Mount Street"
Brighton & Surrounds Garden Club,https://www.facebook.com/groups/5345678322207138/,1,4,19:00,0407 877 779,TAS,
Circular Head Garden Club,https://www.facebook.com/p/Circular-Head-Garden-Club-Inc-100079815428041/,3,4,19:30,gardenclub.ch@gmail.com,TAS,"Senior Citizens centre, 3 Senior Drive, Smithton"
Claremont Flower Show Group Inc,https://www.claremontflowershowgroup.org/,3,4,,"0400 720 866

",TAS,19 Presnell Street GRANTON 7030
Coal River Valley Garden Club,https://www.crvgardenclub.com/,1,4,19:30,0417 339 570,TAS,
Devonport Garden Club,https://www.devonportgardenclub.org.au/,2,2,19:30,"0400 627 867

",TAS,Devonport Baptist Church meeting room  William St Devonport 7310
Huon Valley Garden Club,https://www.huonvalleytas.com/service/huon-valley-garden-club/,3,1,10:00,0458 661 044,TAS,"Huonville Scout Hall, 8 Heron street Huonville"
Kentish Garden Club,https://www.kentishgardenclub.com.au/,4,2,19:30,03 6492 3115,TAS,
Latrobe Garden Club,https://www.facebook.com/lareobegardenclub#,1,3,10:00,latrobegardenclubtas@gmail.com.,TAS,
Launceston Horticultural Society,https://www.launcestonhorticultural.org.au/,3,3,19:00,0448 852 552,TAS,
Berri-Barmera & Districts Garden Club,https://www.facebook.com/berribarmeragardenclub,7,3,13:30,0409 453 944,SA,"Box 870, Barmera, SA, Australia, South Australia"
Blackwood Floral Art Club,https://www.facebook.com/Blackwoodfloralart/,1,4,19:30,0432 211 590,SA,
Clare Garden Club,https://www.facebook.com/p/Clare-Garden-Club-Inc-100068446067036/,4,1,19:00,Claregardenclubinc@gmail.com,SA,
Cottage Garden Club of South Australia,https://www.facebook.com/sacgcinc/,3,4,19:00,sacottagegarden91@gmail.com,SA,"540 Regency Rd, Enfield, SA, Australia, South Australia"
Elizabeth Garden Club,https://www.facebook.com/groups/252718374114212/,4,2,10:00,0447 766 813,SA,
Fern Society of South Australia,https://www.fernsocietyofsouthaustralia.org/,5,4,19:30,,SA,
Friends of Botanic Gardens of Adelaide,https://friendsbgadelaide.com/,1,3,19:15,"08 8922 9367

",SA,"Goodman Building Adelaide Botanic Gardens, Hackney Rd, Adelaide SA 5000"
Lilium & Bulb Society of South Australia,https://www.facebook.com/p/Lilium-and-Bulb-Society-of-South-Australia-100067206014253/,3,1,19:00,"0417 819 978

",SA,Village Well 54 Strathalbyn Road Aldgate 5154
Loxton Garden Club,https://www.facebook.com/loxtoncommunitygroup,7,4,14:00,loxtongardenclub@gmail.com,SA,
Mason Lake Garden Club,https://www.mawsonlakesgardenclub.org.au/,2,4,19:30,0493 688 430,SA,The Mawson Centre Room MC 1.03 2-8 Main Street MAWSON LAKES 5095
Minlaton & District Garden Club,https://www.facebook.com/p/Minlaton-and-District-Garden-Club-100072736594175/,3,4,13:30,"0428 526 887

",SA,Senior Citizens Hall MINLATON 5575
Modbury District Floral Art Club,https://www.facebook.com/p/Modbury-Districts-Floral-Art-Club-Inc-100067040975338/,2,1,19:00,jamespeter100@hotmail.com,SA,
Floral Art Club Mount Barker,https://www.mountbarker.sa.gov.au/discover/whats-on/events/floral-art-club-mount-barker,4,3,13:30,0414 777 649,SA,
Banksia Garden Club,https://www.facebook.com/banksiagardenclub/,3,1,9:00,banksiagardenclub@gmail.com,QLD,
Beechmere Community Garden,https://beachmerecommunitygarden.com.au/,7,4,15:00,"0498 563 396

",QLD,
Boonah & District Garden Club,https://www.facebook.com/groups/174756809815643/,3,4,9:30,0481 173 364,QLD,
Brisbane Organic Growers,https://bogi.org.au/wp/,4,1,19:00,"0438 254 673

",QLD,
Bromeliad Society of Queensland,https://bromsqueensland.com.au/,4,3,14:00,07 3289 1966,QLD,
Buderim Garden Club,https://buderimgardenclub.com/,5,2,14:00,0419 005 984,QLD,
Bundaberg Organic Gardeners,https://www.bundaberg-organic-gardeners.com/,2,4,18:30,"0447 360 882

",QLD,
Caboolture Garden Club,https://www.facebook.com/CabooltureGardenClub/,3,2,9:30,wpeddell@bigpond.net.au,QLD,
Cairns Garden Club,http://www.cairnsgardenclub.org.au/,6,3,14:00,0413 192 529,QLD,
Cooran Organic Garden,https://www.facebook.com/p/Cooran-Organic-Garden-100095599268953/,2,2,,coorancog@gmail.com,QLD,
Darling Downs Rose Society,https://www.facebook.com/darlingdownsrosesociety/,6,4,14:00,leocoo57@bigpond.net.au,QLD,
Diggers Garden Group,https://www.diggers.com.au/,3,2,10:00,0481 275 104,QLD,
Floral Art Society of Caboolture,https://www.facebook.com/p/Floral-Art-Society-of-Caboolture-Inc-100057499606066/,5,2,9:30,"0431 451 776

",QLD,
Friends of Peacehaven Botanic Park,https://friendsofpeacehaven.blogspot.com/p/contact-us.html,3,2,9:30,0477 317 410,QLD,
Greenpark Garden Club,https://www.facebook.com/groups/340613656441542/,1,3,9:30,"0438 802 622

",QLD,
