Species Name,Common Name,Habit,Soil,Sun,Cultivation Protocols ,Propagation Protocols ,Propagation Methods,Cultivation Requirements Subtotal,Germplasm Source,Conservation Status,Germplasm Origin,Provenance,"Additional Conservation
benefit",Conservation Subtotal,"Additional Local Benefits Description (i.e., to City of Melbourne)",Additional Local Benefits Subtotal,Total Score,Horticultural Potential ,Total Score Including Hort Potential,Weed Rating,Priority species
Bossiaea cordigera,Wiry Bossiaea,Small Shrub less than 1 metre,"Free Draining, Moderately Draining",Part Shade,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,0,12,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,20,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,24,Low Risk,YES
Glycine latrobeana,"Purple Glycine, Clover Clycine",Climber,Free Draining,Part Shade,2* - Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture,3 - Easily propagated,Seed/Cuttings,5,4 - Currently held limited propagation material,2 - Vulnerable,3 - Wild,1 - Indigenous to Greater Melbourne,0,10,N/A,0,15,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,18,Medium Risk,NO
Phebalium squamulosum subsp. squamulosum,Forest Phebalium,Medium Shrub 1 to 3 metres,Free Draining,Part Shade,5 - Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years,3 - Easily propagated,Cuttings,8,5 - Currently held in collection,4 - Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,0,13,N/A,0,21,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,25,Medium Risk,YES
Poa sallacustris,Salt-lake Tussock Grass,Grass or Grasslike,"Moderately Draining, Heavy",Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed,7,3 - Not held in collection but easily obtained,5 - Critically Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,0,12,N/A,0,19,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,22,Medium Risk,NO
Pultenaea weindorferi,Swamp Bush-pea,Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining","Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,0,12,N/A,0,19,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,22,Medium Risk,NO
Thelionema umbellatum,Clustered Lily,Grass or Grasslike,Free Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Division,6,3 - Not held in collection but easily obtained,3 - Threatened,3 - Wild,1 - Indigenous to Greater Melbourne,0,10,N/A,0,16,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,19,Low Risk,NO
Acacia lucasii,Wooly Bear Wattle,Medium Shrub 1 to 3 metres to Large Shrub above 3 metres,Free Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,"2 - Bushfire Recovery, Genotyped Collection",15,N/A,0,21,5 - Highly ornamental - feature plants,26,Low Risk,YES
Arthropodium sp. 1,Tall Vanilla-lily,Herbaceous Perennial,"Free Draining, Moderately Draining, Heavy","Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed,7,3 - Not held in collection but easily obtained,4 - Endangered,3 - Wild,0 - Native to Victoria,0,10,N/A,0,17,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,20,Medium Risk,NO
Astrotricha sp. 1 subsp. 2,Greater Grampians Star-hair,Small Shrub less than 1 metre to Medium Shrub 1 to 3 metres,Free Draining,Full Sun,2* - Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture,2 - Can be propagated - but requires significant time/effort,Cuttings,4,5 - Currently held in collection,2 - Vulnerable,3 - Wild,0 - Native to Victoria,0,10,N/A,0,14,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,17,Low Risk,NO
Boronia citrata,Lemon Boronia,Small Shrub less than 1 metre,Free Draining,"Full Sun, Part Shade",2* - Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture,3 - Easily propagated,Seed/Cuttings,5,2* = Not held in collection moderately difficult to collect,4 - Endangered,3 - Wild,0 - Native to Victoria,"2 - Genotyped Collection, Living collection critical as sufficient seed is not or cannot be collected and stored",9,N/A,0,16,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,20,Low Risk,NO
Boronia latipinna,Grampians Boronia,Herbaceous Perennial,Free Draining,Part Shade,2* - Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture,2 - Can be propagated - but requires significant time/effort,Seed/Cuttings,4,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,16,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,20,Low Risk,NO
Bossiaea vombata,Wombat Bossiaea,Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining","Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,19,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,22,Low Risk,NO
Bossiaea walkeri,Cactus Bossiaea,Herbaceous Perennial,"Free Draining, Moderately Draining","Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,19,5 - Highly ornamental - feature plants,24,Medium Risk,NO
Brachyscome petrophila,Rock Daisy,Herbaceous Perennial,Free Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,1* = Not held in collection with little prospect of collecting,4 - Endangered,0 - Unsourced,0 - Native to Victoria,0,4,N/A,0,10,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,13,Low Risk,NO
Celmisia tomentella,Silver Snow-daisy,Herbaceous Perennial,Moderately Draining,Full Sun,2* - Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture,3 - Easily propagated,Seed/Division,5,5 - Currently held in collection,2 - Vulnerable,3 - Wild,0 - Native to Victoria,0,10,N/A,0,15,5 - Highly ornamental - feature plants,20,Low Risk,NO
Commersonia dasyphylla,Kerrawang,Medium Shrub 1 to 3 metres,Free Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings/Division,6,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,"2 - Bushfire Recovery, Living collection critical as sufficient seed is not or cannot be collected and stored",15,Good Story,1,22,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,26,Low Risk,YES
Crinum flaccidum,Darling Lily,Grass or Grasslike,"Moderately Draining, Heavy","Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Division,7,5 - Currently held in collection,4 - Endangered,0 - Unsourced,0 - Native to Victoria,0,9,N/A,0,16,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,19,Low Risk,NO
Crowea exalata subsp. revoluta,Whipstick Crowea,Small Shrub less than 1 metre,"Free Draining, Moderately Draining","Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,18,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,22,Medium Risk,NO
Dampiera purpurea,Mountain Dampiera,Herbaceous Perennial,"Free Draining, Moderately Draining, Heavy","Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,5 - Currently held in collection,2 - Vulnerable,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,11,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,19,5 - Highly ornamental - feature plants,24,Low Risk,NO
Dillwynia oreodoxa,Grampians Parrot-pea,Medium Shrub 1 to 3 metres,Free Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,5 - Currently held in collection,2 - Vulnerable,3 - Wild,0 - Native to Victoria,0,10,N/A,0,16,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,19,Low Risk,NO
Discaria nitida,Shining Anchor Plant,Large Shrub above 3 metres,Free Draining,Part Shade,2* - Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture,3 - Easily propagated,Seed/Cuttings,5,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,17,"2 - Plant with limited ornamental attributes, (form/flowers/fruit etc.) - Limited display potential",19,Low Risk,NO
Epacris celata,Cryptic Heath,Small Shrub less than 1 metre,"Moderately Draining, Heavy","Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,2 - Can be propagated - but requires significant time/effort,Cuttings,5,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,18,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,21,Low Risk,NO
Epacris rhombifolia,Mountain Coral Heath,Small Shrub less than 1 metre,"Moderately Draining, Heavy",Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,2 - Can be propagated - but requires significant time/effort,Cuttings,5,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,0,11,N/A,0,16,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,20,Low Risk,NO
Eremophila scoparia,Silvery Emu-bush,Medium Shrub 1 to 3 metres,Free Draining,Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,2 - Can be propagated - but requires significant time/effort,Cuttings,6,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,0,11,N/A,0,17,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,21,Low Risk,NO
Eucalyptus diversifolia subsp. megacarpa,Soap Mallee,Medium Tree 10 to 20 metres,Free Draining,Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed,7,5 - Currently held in collection,2 - Vulnerable,3 - Wild,0 - Native to Victoria,0,10,N/A,0,17,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,20,Low Risk,NO
Eucalyptus wimmerensis,Wimmera Mallee-box,Small Tree less than 10 metres,"Free Draining, Moderately Draining",Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed,7,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,13,N/A,0,20,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,24,Low Risk,YES
Goodenia macmillanii,Pinnate Goodenia,Herbaceous Perennial,Moderately Draining,Part Shade,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,5 - Currently held in collection,3 - Threatened,3 - Wild,0 - Native to Victoria,0,11,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,19,5 - Highly ornamental - feature plants,24,Low Risk,NO
Goodenia stelligera,Spiked Goodenia,Herbaceous Perennial,Heavy,Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,5 - Currently held in collection,2 - Vulnerable,3 - Wild,0 - Native to Victoria,0,10,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,17,"2 - Plant with limited ornamental attributes, (form/flowers/fruit etc.) - Limited display potential",19,Low Risk,NO
Haloragodendron baeuerlenii,Shrubby Raspwort,Medium Shrub 1 to 3 metres,Free Draining,Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,13,N/A,0,19,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,22,Medium Risk,NO
Hibbertia truncata,Port Campbell Guinea-flower,Climber,Heavy,Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,19,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,22,Medium Risk,NO
Hovea corrickiae,Glossy Hovea,Medium Shrub 1 to 3 metres,Moderately Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,18,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,21,Medium Risk,NO
Leionema lamprophyllum subsp. obovatum,Shiny Leionema,Medium Shrub 1 to 3 metres,Free Draining,Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,5 - Currently held in collection,2 - Vulnerable,3 - Wild,0 - Native to Victoria,0,10,N/A,0,17,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,21,Medium Risk,NO
Leptospermum jingera,Stringybark Tea-tree,Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining",Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,13,N/A,0,19,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,23,Medium Risk,NO
Libertia paniculata,Branching Grass-flag,Grass or Grasslike,"Free Draining, Moderately Draining",Part Shade,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Division,7,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,0,11,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,19,5 - Highly ornamental - feature plants,24,Low Risk,NO
Maireana oppositifolia,Heathy Bluebush,Small Shrub less than 1 metre,Moderately Draining,Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,19,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,22,Low Risk,NO
Nematolepis squamea subsp. squamea,Satinwood,Large Shrub more than 3 metres to Small Tree less than 10 metres,"Free Draining, Moderately Draining",Part Shade,5 - Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years,3 - Easily propagated,Cuttings,8,5 - Currently held in collection,2 - Vulnerable,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,11,N/A,0,19,5 - Highly ornamental - feature plants,24,Low Risk,NO
Olearia asterotricha subsp. lobata,N/A,Medium Shrub 1 to 3 metres,Free Draining,"Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,19,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,23,Low Risk,NO
Olearia astroloba,Marble Daisy-Bush,Small Shrub less than 1 metre,Free Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,18,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,21,Low Risk,NO
Olearia tenuifolia,Scented Daisy-bush,Small Shrub less than 1 metre,Free Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,0,11,N/A,0,17,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,21,Low Risk,NO
Olearia viscosa,Viscid Daisy-bush,Medium Shrub 1 to 3 metres,Free Draining,"Part Shade, Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,19,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,23,Medium Risk,NO
Persoonia silvatica,Forest Geebung,Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining",Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,2 - Can be propagated - but requires significant time/effort,Seed/Cuttings,5,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,0,11,N/A,0,16,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,20,Medium Risk,NO
Phebalium squamulosum subsp. argenteum,Silvery Phebalium,Medium Shrub 1 to 3 metres,Free Draining,"Full Sun, Part Shade",5 - Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years,3 - Easily propagated,Cuttings,8,5 - Currently held in collection,5 - Critically Endangered,1 - Cultivated,0 - Native to Victoria,0,11,N/A,0,19,5 - Highly ornamental - feature plants,24,Low Risk,NO
Philotheca virgata,Tasmanian Wax-flower,Medium Shrub 1 to 3 metres,Free Draining,Part Shade,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,4 - Currently held limited propagation material,4 - Endangered,1 - Cultivated,0 - Native to Victoria,1 - Bushfire Recovery,10,N/A,0,17,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,21,Low Risk,NO
Poa clivicola,Fine-leaf Snow-grass,Grass or Grasslike,"Moderately Draining, Heavy","Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Division,6,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,0,11,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,18,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,22,Medium Risk,NO
Poa labillardierei var. acris,Sharp Mountain Tussock-grass,Grass or Grasslike,"Moderately Draining, Heavy","Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Division,7,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,0,11,N/A,0,18,5 - Highly ornamental - feature plants,23,*High Risk,NO
Polyscias murrayi,Pencil Cedar,Large Shrub more than 3 metres to Small Tree less than 10 metres,Free Draining,Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,2 - Can be propagated - but requires significant time/effort,Seed/Cuttings,5,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,13,N/A,0,18,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,22,Medium Risk,NO
