ID,Binomial,SpNo,TaxonID,CommonName,Class,Order,Family,FamilyCommonName,Genus,Species,Subspecies,FunctionalGroup,TaxonomicGroup,EPBCStatus,IUCNStatus,BirdActionPlanStatus,MaxStatus,State,Region,RegionCentroidLatitude,RegionCentroidLongitude,RegionCentroidAccuracy,SiteID,SourceID,SourceDesc,MonitoringProgram,UnitID,Unit,SearchTypeID,SearchTypeDesc,ResponseVariableType,DataType,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,TimeSeriesLength,TimeSeriesSampleYears,TimeSeriesCompleteness,TimeSeriesSamplingEvenness,AbsencesRecorded,StandardisationOfMethodEffort,ObjectiveOfMonitoring,SpatialRepresentativeness,ConsistencyOfMonitoring,Management,ManagementCategory,ManagementCategoryComments,SuppressAggregatedData,SurveyCount,TimeSeriesID,NationalPriorityTaxa,Citation
5059,Grevillea_infecunda,,p_38963,Anglesea Grevillea,,Proteales,Proteaceae,,Grevillea,infecunda,,Shrub,Plants,Vulnerable,,,Vulnerable,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,372790,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1144,Targeted Search,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,25.0,,,1.0,,,,,,6.0,232.0,,,,,,12,5,0.417,2.25,1,,,,,No known management,Unknown,,0,8,958_2_1144_372790_p_38963,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5060,Grevillea_infecunda,,p_38963,Anglesea Grevillea,,Proteales,Proteaceae,,Grevillea,infecunda,,Shrub,Plants,Vulnerable,,,Vulnerable,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,372980,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1144,Targeted Search,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.625,,,,,,,,28.0,197.0,24.5,,,,,,11,4,0.364,0.0,1,,,,,No known management,Unknown,,0,9,958_2_1144_372980_p_38963,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5061,Grevillea_infecunda,,p_38963,Anglesea Grevillea,,Proteales,Proteaceae,,Grevillea,infecunda,,Shrub,Plants,Vulnerable,,,Vulnerable,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,372981,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1144,Targeted Search,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,,,,,,,,168.3333333,,,,,,,,9,2,0.222,0.0,1,,,,,No known management,Unknown,,0,5,958_2_1144_372981_p_38963,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5062,Grevillea_infecunda,,p_38963,Anglesea Grevillea,,Proteales,Proteaceae,,Grevillea,infecunda,,Shrub,Plants,Vulnerable,,,Vulnerable,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,372982,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1144,Targeted Search,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,111.0,,,,,,,,86.0,,,,,,,,10,3,0.3,0.0,1,,,,,No known management,Unknown,,0,3,958_2_1144_372982_p_38963,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5063,Grevillea_infecunda,,p_38963,Anglesea Grevillea,,Proteales,Proteaceae,,Grevillea,infecunda,,Shrub,Plants,Vulnerable,,,Vulnerable,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,373288,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1144,Targeted Search,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,38.0,163.0,,,,,,7,3,0.429,0.0,1,,,,,No known management,Unknown,,0,3,958_2_1144_373288_p_38963,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5064,Grevillea_infecunda,,p_38963,Anglesea Grevillea,,Proteales,Proteaceae,,Grevillea,infecunda,,Shrub,Plants,Vulnerable,,,Vulnerable,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,373289,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1144,Targeted Search,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,5.0,,,,,141.0,12.0,,,,,,13,4,0.308,0.25,1,,,,,No known management,Unknown,,0,4,958_2_1144_373289_p_38963,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5065,Grevillea_infecunda,,p_38963,Anglesea Grevillea,,Proteales,Proteaceae,,Grevillea,infecunda,,Shrub,Plants,Vulnerable,,,Vulnerable,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,373290,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1144,Targeted Search,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,15.0,,,,,177.5,22.0,,,,,,13,4,0.308,0.25,1,,,,,No known management,Unknown,,0,6,958_2_1144_373290_p_38963,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5066,Grevillea_infecunda,,p_38963,Anglesea Grevillea,,Proteales,Proteaceae,,Grevillea,infecunda,,Shrub,Plants,Vulnerable,,,Vulnerable,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,373574,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1144,Targeted Search,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,75.5,,,,,14,2,0.143,0.0,1,,,,,No known management,Unknown,,0,3,958_2_1144_373574_p_38963,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5067,Grevillea_infecunda,,p_38963,Anglesea Grevillea,,Proteales,Proteaceae,,Grevillea,infecunda,,Shrub,Plants,Vulnerable,,,Vulnerable,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,373575,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1144,Targeted Search,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,205.0,,17.0,2.0,,,,,,43.0,,,,,,,11,5,0.455,4.0,1,,,,,No known management,Unknown,,0,8,958_2_1144_373575_p_38963,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5068,Grevillea_infecunda,,p_38963,Anglesea Grevillea,,Proteales,Proteaceae,,Grevillea,infecunda,,Shrub,Plants,Vulnerable,,,Vulnerable,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,373708,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1144,Targeted Search,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,322.5,,15.0,,,,,,,,378.0,,,,,,12,4,0.333,9.0,1,,,,,No known management,Unknown,,0,5,958_2_1144_373708_p_38963,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5069,Grevillea_infecunda,,p_38963,Anglesea Grevillea,,Proteales,Proteaceae,,Grevillea,infecunda,,Shrub,Plants,Vulnerable,,,Vulnerable,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,373709,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1144,Targeted Search,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,208.25,,,,,,,,,61.0,,,,,,,11,3,0.273,0.0,1,,,,,No known management,Unknown,,0,7,958_2_1144_373709_p_38963,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5070,Grevillea_infecunda,,p_38963,Anglesea Grevillea,,Proteales,Proteaceae,,Grevillea,infecunda,,Shrub,Plants,Vulnerable,,,Vulnerable,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,373711,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1144,Targeted Search,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,7.0,,,,,3,2,0.667,0.0,1,,,,,No known management,Unknown,,0,2,958_2_1144_373711_p_38963,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5071,Grevillea_infecunda,,p_38963,Anglesea Grevillea,,Proteales,Proteaceae,,Grevillea,infecunda,,Shrub,Plants,Vulnerable,,,Vulnerable,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,373713,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1144,Targeted Search,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,133.0,,,,,,2,2,1.0,0.0,1,,,,,No known management,Unknown,,0,2,958_2_1144_373713_p_38963,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5072,Grevillea_infecunda,,p_38963,Anglesea Grevillea,,Proteales,Proteaceae,,Grevillea,infecunda,,Shrub,Plants,Vulnerable,,,Vulnerable,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,373735,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1144,Targeted Search,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,82.0,7.0,,,,,,12,3,0.25,0.0,1,,,,,No known management,Unknown,,0,3,958_2_1144_373735_p_38963,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5073,Grevillea_infecunda,,p_38963,Anglesea Grevillea,,Proteales,Proteaceae,,Grevillea,infecunda,,Shrub,Plants,Vulnerable,,,Vulnerable,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,372730,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1897,Monitoring,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,,3.0,,,2.0,1.0,,,,,,,,,,,,9,4,0.444,0.25,1,,,,,No known management,Unknown,,0,7,958_2_1897_372730_p_38963,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5074,Grevillea_infecunda,,p_38963,Anglesea Grevillea,,Proteales,Proteaceae,,Grevillea,infecunda,,Shrub,Plants,Vulnerable,,,Vulnerable,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,372734,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1897,Monitoring,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.0,,,,22.5,,,5.0,,,,,,,,,,,,,8,3,0.375,0.25,1,,,,,No known management,Unknown,,0,4,958_2_1897_372734_p_38963,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5075,Grevillea_infecunda,,p_38963,Anglesea Grevillea,,Proteales,Proteaceae,,Grevillea,infecunda,,Shrub,Plants,Vulnerable,,,Vulnerable,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,372777,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1897,Monitoring,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,54.0,,,,2.333333333,,,,1.0,,,,,,,,,,,,10,4,0.4,0.0,1,,,,,No known management,Unknown,,0,6,958_2_1897_372777_p_38963,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5076,Grevillea_infecunda,,p_38963,Anglesea Grevillea,,Proteales,Proteaceae,,Grevillea,infecunda,,Shrub,Plants,Vulnerable,,,Vulnerable,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,372797,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1897,Monitoring,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,92.0,,,,15.0,,,,6.0,,,,,,,,,,,,11,4,0.364,0.888888889,1,,,,,No known management,Unknown,,0,5,958_2_1897_372797_p_38963,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5077,Grevillea_infecunda,,p_38963,Anglesea Grevillea,,Proteales,Proteaceae,,Grevillea,infecunda,,Shrub,Plants,Vulnerable,,,Vulnerable,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,372892,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1897,Monitoring,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,7.5,,,5.0,1.0,,,,,,,,,,,,9,4,0.444,0.25,1,,,,,No known management,Unknown,,0,5,958_2_1897_372892_p_38963,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
